,Date,Principal,Interest,Total Payment,Running Balance,eir,eirinterest,armortizedfee
0,2023-02-28,397.04723067401903,41.666666666666664,438.7138973406857,10000.0,6.987084538877568,57.06119040083347,15.394523734166803
1,2023-03-28,398.7015941351608,40.012303205524915,438.7138973406857,9602.95276932598,6.987084538877568,54.83899062759993,14.826687422075011
2,2023-04-28,400.36285077739063,38.351046563295085,438.7138973406857,9204.25117519082,6.987084538877568,52.60385193963487,14.252805376339786
3,2023-05-28,402.03102932229643,36.68286801838929,438.7138973406857,8803.88832441343,6.987084538877568,50.35569899919567,13.672830980806374
4,2023-06-28,403.7061586111393,35.007738729546396,438.7138973406857,8401.857295091135,6.987084538877568,48.094456029880476,13.08671730033408
5,2023-07-28,405.3882676053524,33.325629735333315,438.7138973406857,7998.151136479995,6.987084538877568,45.82004681407404,12.494417078740724
6,2023-08-28,407.0773853870414,31.636511953644344,438.7138973406857,7592.762868874643,6.987084538877568,43.53239469037857,11.895882736734222
7,2023-09-28,408.77354115948737,29.94035618119834,438.7138973406857,7185.685483487601,6.987084538877568,41.2314225510299,11.291066369831562
8,2023-10-28,410.4767642476519,28.237133093033805,438.71389734068566,6776.911942328114,6.987084538877568,38.91705283929854,10.679919746264737
9,2023-11-28,412.1870840986838,26.526813242001925,438.7138973406857,6366.435178080462,6.987084538877568,36.58920754687538,10.062394304873454
10,2023-12-28,413.9045302824283,24.809367058257408,438.7138973406857,5954.248093981778,6.987084538877568,34.247808211242614,9.438441152985206
11,2024-01-28,415.62913249193844,23.08476484874729,438.7138973406857,5540.34356369935,6.987084538877568,31.892775913028764,8.808011064281473
12,2024-02-28,417.3609205439882,21.352976796697547,438.7138973406857,5124.7144312074115,6.987084538877568,29.524031273348783,8.171054476651236
13,2024-03-28,419.0999243795881,19.6139729610976,438.7138973406857,4707.353510663424,6.987084538877568,27.14149445112831,7.527521490030711
14,2024-04-28,420.8461740645031,17.867723276182648,438.7138973406857,4288.253586283836,6.987084538877568,24.745085140412993,6.877361864230345
15,2024-05-28,422.5996997897718,16.114197550913886,438.7138973406857,3867.407412219333,6.987084538877568,22.334722567661334,6.220525016747448
16,2024-06-28,424.3605318722292,14.353365468456504,438.7138973406857,3444.807712429561,6.987084538877568,19.910325489021957,5.5569600205654535
17,2024-07-28,426.1287007550302,12.585196585655549,438.7138973406857,3020.4471805573316,6.987084538877568,17.47181218759568,4.886615601940132
18,2024-08-28,427.90423700817615,10.809660332509589,438.7138973406857,2594.318479802301,6.987084538877568,15.019100470680934,4.209440138171345
19,2024-09-28,429.6871713290435,9.026726011642188,438.7138973406857,2166.414242794125,6.987084538877568,12.552107667003138,3.5253816553609507
20,2024-10-28,431.47753454291455,7.236362797771174,438.7138973406857,1736.7270714650817,6.987084538877568,10.070750623928602,2.8343878261574273
21,2024-11-28,433.27535760351003,5.438539737175697,438.7138973406857,1305.2495369221672,6.987084538877568,7.574945704661588,2.1364059674858913
22,2024-12-28,435.08067159352464,3.6332257471610716,438.7138973406857,871.9741793186572,6.987084538877568,5.064608785424928,1.4313830382638568
23,2025-01-28,436.89350772516434,1.8203896155213857,438.7138973406857,436.89350772513257,6.987084538877568,2.5396552526251046,0.7192656371037189
